Definition,Proportion of the population with access to improved sanitation facility,,,,,,
Denominator,All dejure population (hv012),,,,,,
Numerator,"Number of dejure population (by residence) with access to improved sanitation facility: flush to piped sewer system, spetic tank, pit latrine or unknown destination; ventilated pit latrine, pit latrine with slab, composting toilet (hv205",,,,,,
,,,,,,,
Average,0.672972006,,Weighted national average=71.6,,,,StatCompiler=66.6
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
hv001,Relevantpop,improvedsanitation,,,,,
164,24,5,0.208333333,,,,
165,24,3,0.125,,,,
166,21,7,0.333333333,,,,
167,21,6,0.285714286,,,,
168,25,12,0.48,,,,
169,23,20,0.869565217,,,,
170,17,16,0.941176471,,,,
171,22,21,0.954545455,,,,
172,21,12,0.571428571,,,,
173,25,17,0.68,,,,
174,18,5,0.277777778,,,,
175,22,3,0.136363636,,,,
176,24,22,0.916666667,,,,
177,23,18,0.782608696,,,,
178,23,19,0.826086957,,,,
179,25,24,0.96,,,,
180,21,14,0.666666667,,,,
181,24,22,0.916666667,,,,
182,24,20,0.833333333,,,,
183,22,21,0.954545455,,,,
184,24,19,0.791666667,,,,
185,25,20,0.8,,,,
186,24,17,0.708333333,,,,
187,18,16,0.888888889,,,,
188,19,16,0.842105263,,,,
189,24,9,0.375,,,,
190,23,19,0.826086957,,,,
191,22,22,1,,,,
192,22,22,1,,,,
193,20,19,0.95,,,,
194,24,17,0.708333333,,,,
195,24,6,0.25,,,,
196,21,18,0.857142857,,,,
197,21,13,0.619047619,,,,
198,22,14,0.636363636,,,,
199,24,15,0.625,,,,
200,24,18,0.75,,,,
201,23,22,0.956521739,,,,
202,22,20,0.909090909,,,,
203,19,19,1,,,,
204,19,17,0.894736842,,,,
205,11,11,1,,,,
206,19,19,1,,,,
207,19,19,1,,,,
208,21,21,1,,,,
209,22,9,0.409090909,,,,
210,20,8,0.4,,,,
211,19,15,0.789473684,,,,
212,24,24,1,,,,
213,15,8,0.533333333,,,,
214,23,1,0.043478261,,,,
215,24,18,0.75,,,,
216,24,21,0.875,,,,
217,24,0,0,,,,
218,21,19,0.904761905,,,,
219,7,0,0,,,,
220,20,20,1,,,,
221,19,19,1,,,,
222,15,15,1,,,,
223,24,23,0.958333333,,,,
224,21,21,1,,,,
225,23,23,1,,,,
226,21,20,0.952380952,,,,
227,23,21,0.913043478,,,,
228,23,20,0.869565217,,,,
229,22,12,0.545454545,,,,
230,8,0,0,,,,
231,14,8,0.571428571,,,,
232,11,0,0,,,,
233,13,4,0.307692308,,,,
234,20,18,0.9,,,,
235,25,22,0.88,,,,
236,13,12,0.923076923,,,,
237,25,0,0,,,,
238,12,0,0,,,,
239,24,23,0.958333333,,,,
240,24,24,1,,,,
241,21,11,0.523809524,,,,
242,13,12,0.923076923,,,,
243,20,11,0.55,,,,
244,20,14,0.7,,,,
245,21,8,0.380952381,,,,
246,21,14,0.666666667,,,,
247,8,2,0.25,,,,
248,9,0,0,,,,
249,8,5,0.625,,,,
250,17,11,0.647058824,,,,
251,16,4,0.25,,,,
252,22,17,0.772727273,,,,
253,17,14,0.823529412,,,,
254,21,13,0.619047619,,,,
255,21,2,0.095238095,,,,
256,23,4,0.173913043,,,,
257,21,0,0,,,,
258,21,8,0.380952381,,,,
259,17,17,1,,,,
260,23,9,0.391304348,,,,
261,23,6,0.260869565,,,,
262,25,1,0.04,,,,
263,24,2,0.083333333,,,,
264,22,9,0.409090909,,,,
265,22,10,0.454545455,,,,
266,24,14,0.583333333,,,,
267,23,10,0.434782609,,,,
268,11,4,0.363636364,,,,
269,17,5,0.294117647,,,,
270,18,1,0.055555556,,,,
271,7,0,0,,,,
272,17,6,0.352941176,,,,
273,22,0,0,,,,
274,20,17,0.85,,,,
275,15,0,0,,,,
276,22,0,0,,,,
277,23,10,0.434782609,,,,
278,22,7,0.318181818,,,,
279,24,15,0.625,,,,
