Definition: ,Percentage of youngest children under six months of age living with the mother who are exclusively breastfed,,,,,,
Denominator,Children under age 6 months,,,,,,
,,,,,,,
Average:,0.56420765,,National Weighted Average,,58.7,Statcompiler,59.9
,,,,,,,
,,,,,,,
v001,youngestchildwithmum,exclusivelybreastfed,,,,,
901,0,0,.,,,,
902,1,0,0,,,,
903,0,0,.,,,,
904,1,1,1,,,,
905,1,0,0,,,,
906,0,0,.,,,,
907,1,1,1,,,,
908,0,0,.,,,,
909,1,0,0,,,,
910,0,0,.,,,,
911,0,0,.,,,,
912,1,1,1,,,,
913,0,0,.,,,,
914,1,1,1,,,,
915,1,0,0,,,,
916,0,0,.,,,,
917,0,0,.,,,,
918,0,0,.,,,,
919,0,0,.,,,,
920,1,0,0,,,,
921,1,1,1,,,,
922,1,1,1,,,,
923,0,0,.,,,,
924,0,0,.,,,,
925,2,2,1,,,,
926,0,0,.,,,,
927,0,0,.,,,,
928,1,0,0,,,,
929,0,0,.,,,,
930,0,0,.,,,,
931,0,1,.,,,,
932,0,0,.,,,,
933,0,0,.,,,,
934,0,0,.,,,,
935,1,1,1,,,,
936,2,0,0,,,,
937,1,0,0,,,,
938,1,1,1,,,,
939,0,0,.,,,,
940,0,0,.,,,,
941,0,0,.,,,,
942,1,0,0,,,,
943,0,0,.,,,,
944,2,2,1,,,,
945,0,0,.,,,,
946,1,1,1,,,,
947,1,1,1,,,,
948,1,1,1,,,,
949,0,0,.,,,,
950,2,0,0,,,,
951,0,0,.,,,,
952,0,0,.,,,,
953,1,1,1,,,,
954,1,1,1,,,,
955,1,0,0,,,,
956,0,0,.,,,,
957,0,0,.,,,,
958,0,0,.,,,,
959,1,1,1,,,,
960,0,0,.,,,,
961,1,1,1,,,,
962,0,0,.,,,,
963,3,3,1,,,,
964,0,0,.,,,,
965,1,1,1,,,,
966,1,1,1,,,,
967,0,0,.,,,,
968,0,0,.,,,,
969,1,0,0,,,,
970,3,1,0.333333333,,,,
971,0,0,.,,,,
972,0,0,.,,,,
973,1,1,1,,,,
974,2,2,1,,,,
975,0,0,.,,,,
976,0,0,.,,,,
977,0,0,.,,,,
978,1,0,0,,,,
979,1,1,1,,,,
980,0,0,.,,,,
981,3,2,0.666666667,,,,
982,0,0,.,,,,
983,0,0,.,,,,
984,0,0,.,,,,
985,1,0,0,,,,
986,1,1,1,,,,
987,0,0,.,,,,
988,0,0,.,,,,
989,1,1,1,,,,
990,0,0,.,,,,
991,0,0,.,,,,
992,2,1,0.5,,,,
993,1,0,0,,,,
994,0,0,.,,,,
995,0,0,.,,,,
996,1,1,1,,,,
997,0,0,.,,,,
998,1,1,1,,,,
999,0,0,.,,,,
1000,2,1,0.5,,,,
1001,1,1,1,,,,
1002,0,0,.,,,,
1003,0,0,.,,,,
1004,1,0,0,,,,
1005,0,0,.,,,,
1006,0,0,.,,,,
1007,0,0,.,,,,
1008,0,0,.,,,,
1009,1,2,2,,,,
1010,1,0,0,,,,
1011,1,0,0,,,,
1012,1,1,1,,,,
1013,0,0,.,,,,
1014,0,0,.,,,,
1015,4,2,0.5,,,,
1016,0,0,.,,,,
1017,0,0,.,,,,
1018,0,0,.,,,,
1019,1,1,1,,,,
1020,0,0,.,,,,
1021,1,0,0,,,,
1022,1,0,0,,,,
1023,0,0,.,,,,
1024,0,0,.,,,,
1025,1,0,0,,,,
1026,0,0,.,,,,
1027,0,0,.,,,,
1028,0,0,.,,,,
1029,1,0,0,,,,
1030,0,0,.,,,,
1031,0,0,.,,,,
1032,1,0,0,,,,
1033,2,1,0.5,,,,
1034,0,0,.,,,,
1035,1,0,0,,,,
1036,0,0,.,,,,
1037,1,1,1,,,,
1038,2,2,1,,,,
1039,0,0,.,,,,
1040,1,0,0,,,,
1041,0,0,.,,,,
1042,0,0,.,,,,
1043,0,0,.,,,,
1044,3,2,0.666666667,,,,
1045,0,0,.,,,,
1046,0,0,.,,,,
1047,0,0,.,,,,
1048,2,1,0.5,,,,
1049,0,0,.,,,,
1050,1,1,1,,,,
1051,1,0,0,,,,
1052,2,2,1,,,,
1053,1,0,0,,,,
1054,2,1,0.5,,,,
1055,0,0,.,,,,
1056,1,0,0,,,,
1057,0,0,.,,,,
1058,0,0,.,,,,
1059,1,1,1,,,,
1060,0,0,.,,,,
1061,0,0,.,,,,
1062,0,0,.,,,,
1063,0,0,.,,,,
1064,0,0,.,,,,
1065,0,0,.,,,,
1066,1,1,1,,,,
1067,0,0,.,,,,
1068,0,0,.,,,,
1069,0,0,.,,,,
1070,0,0,.,,,,
