Definition: ,Percentage of live births in the five (or three) years preceding the survey whose birth weight was less than 2.5 kg,,,,,,
Denominator,Live births in the five (or three) years preceding the survey with a reported birth weight,,,,,,
,,,,,,,
Average:,0.074455861,,National Weighted Average,,7.5,Statcompiler,7.6
,,,,,,,
,,,,,,,
,,,,,,,
v001,birthweightreported,lowbirthweight,,,,,
760,0,0,.,,,,
761,1,0,0,,,,
762,0,0,.,,,,
764,0,0,.,,,,
766,0,0,.,,,,
768,1,0,0,,,,
769,1,0,0,,,,
770,0,0,.,,,,
771,2,0,0,,,,
772,4,0,0,,,,
773,0,0,.,,,,
774,7,0,0,,,,
775,7,0,0,,,,
776,4,0,0,,,,
777,0,0,.,,,,
778,1,0,0,,,,
779,0,0,.,,,,
780,0,0,.,,,,
781,4,0,0,,,,
782,0,0,.,,,,
783,0,0,.,,,,
784,0,0,.,,,,
785,0,0,.,,,,
786,0,0,.,,,,
787,0,0,.,,,,
788,2,0,0,,,,
789,11,0,0,,,,
790,3,0,0,,,,
791,9,1,0.111111111,,,,
792,9,0,0,,,,
793,7,0,0,,,,
794,0,0,.,,,,
795,0,0,.,,,,
796,0,0,.,,,,
797,0,0,.,,,,
798,0,0,.,,,,
799,0,0,.,,,,
801,0,0,.,,,,
802,1,0,0,,,,
803,2,0,0,,,,
804,3,0,0,,,,
805,2,0,0,,,,
806,6,1,0.166666667,,,,
807,1,0,0,,,,
808,11,0,0,,,,
809,8,0,0,,,,
810,1,0,0,,,,
811,6,0,0,,,,
812,4,1,0.25,,,,
813,4,0,0,,,,
814,2,0,0,,,,
815,4,0,0,,,,
816,7,1,0.142857143,,,,
817,3,0,0,,,,
818,2,0,0,,,,
819,3,0,0,,,,
820,2,0,0,,,,
821,5,0,0,,,,
822,2,0,0,,,,
823,8,1,0.125,,,,
824,4,0,0,,,,
825,3,0,0,,,,
826,8,0,0,,,,
827,4,0,0,,,,
828,1,0,0,,,,
829,6,0,0,,,,
830,6,0,0,,,,
831,3,0,0,,,,
832,6,0,0,,,,
833,5,0,0,,,,
834,6,0,0,,,,
835,6,0,0,,,,
836,3,0,0,,,,
837,2,0,0,,,,
838,6,0,0,,,,
839,4,0,0,,,,
840,8,0,0,,,,
841,5,0,0,,,,
842,3,0,0,,,,
843,8,0,0,,,,
844,3,0,0,,,,
845,3,0,0,,,,
846,5,0,0,,,,
847,1,0,0,,,,
848,6,1,0.166666667,,,,
849,2,0,0,,,,
850,6,0,0,,,,
851,2,0,0,,,,
852,4,0,0,,,,
853,7,1,0.142857143,,,,
854,4,0,0,,,,
855,4,0,0,,,,
856,4,0,0,,,,
857,1,0,0,,,,
858,5,0,0,,,,
859,7,0,0,,,,
860,7,0,0,,,,
861,3,0,0,,,,
862,5,0,0,,,,
863,1,0,0,,,,
864,3,0,0,,,,
865,4,0,0,,,,
866,5,0,0,,,,
867,4,0,0,,,,
868,6,1,0.166666667,,,,
869,1,0,0,,,,
870,4,0,0,,,,
871,5,0,0,,,,
872,1,0,0,,,,
873,4,0,0,,,,
874,8,0,0,,,,
875,3,0,0,,,,
876,3,0,0,,,,
877,9,0,0,,,,
878,9,0,0,,,,
879,3,1,0.333333333,,,,
880,5,0,0,,,,
881,2,0,0,,,,
882,6,1,0.166666667,,,,
883,7,0,0,,,,
884,2,0,0,,,,
885,4,0,0,,,,
886,3,0,0,,,,
887,3,0,0,,,,
888,10,0,0,,,,
889,7,0,0,,,,
890,8,0,0,,,,
891,3,0,0,,,,
892,2,0,0,,,,
893,3,1,0.333333333,,,,
894,6,0,0,,,,
