hv001,Primaryage,NARPrimary,
764,30,16,0.533333333
766,29,1,0.034482759
768,43,31,0.720930233
769,27,16,0.592592593
770,23,16,0.695652174
771,42,27,0.642857143
772,46,28,0.608695652
773,46,14,0.304347826
774,47,17,0.361702128
775,23,15,0.652173913
776,32,20,0.625
777,17,10,0.588235294
778,36,31,0.861111111
779,43,22,0.511627907
780,28,13,0.464285714
781,41,19,0.463414634
782,14,8,0.571428571
783,41,22,0.536585366
784,50,17,0.34
785,49,26,0.530612245
786,15,7,0.466666667
787,4,1,0.25
788,48,28,0.583333333
789,36,27,0.75
790,36,19,0.527777778
791,60,37,0.616666667
792,52,37,0.711538462
793,46,28,0.608695652
794,51,23,0.450980392
795,61,32,0.524590164
796,32,25,0.78125
797,54,27,0.5
798,33,14,0.424242424
799,69,44,0.637681159
801,36,20,0.555555556
802,33,28,0.848484848
803,17,16,0.941176471
804,21,18,0.857142857
805,15,12,0.8
806,10,10,1
807,17,13,0.764705882
808,21,18,0.857142857
809,32,28,0.875
810,27,24,0.888888889
811,20,16,0.8
812,38,33,0.868421053
813,24,22,0.916666667
814,19,12,0.631578947
815,28,21,0.75
816,35,32,0.914285714
817,33,27,0.818181818
818,22,21,0.954545455
819,27,24,0.888888889
820,33,30,0.909090909
821,19,18,0.947368421
822,22,19,0.863636364
823,13,12,0.923076923
824,9,9,1
825,31,27,0.870967742
826,21,19,0.904761905
827,30,29,0.966666667
828,23,21,0.913043478
829,13,9,0.692307692
830,30,26,0.866666667
831,12,10,0.833333333
832,28,26,0.928571429
833,35,31,0.885714286
834,33,29,0.878787879
835,23,17,0.739130435
836,17,15,0.882352941
837,21,18,0.857142857
838,21,21,1
839,14,13,0.928571429
840,16,14,0.875
841,20,17,0.85
842,15,14,0.933333333
843,23,20,0.869565217
844,19,18,0.947368421
845,5,5,1
846,21,17,0.80952381
847,18,16,0.888888889
848,13,13,1
849,23,21,0.913043478
850,31,25,0.806451613
851,28,24,0.857142857
852,21,18,0.857142857
853,50,45,0.9
854,19,15,0.789473684
855,27,25,0.925925926
856,18,14,0.777777778
857,26,21,0.807692308
858,24,22,0.916666667
859,36,29,0.805555556
860,30,25,0.833333333
861,36,31,0.861111111
862,23,23,1
863,25,20,0.8
864,21,16,0.761904762
865,15,11,0.733333333
866,26,25,0.961538462
867,25,22,0.88
868,29,24,0.827586207
869,31,27,0.870967742
870,30,26,0.866666667
871,8,8,1
872,30,20,0.666666667
873,41,35,0.853658537
874,19,17,0.894736842
875,26,21,0.807692308
876,43,32,0.744186047
877,40,28,0.7
878,39,31,0.794871795
879,35,30,0.857142857
880,30,25,0.833333333
881,37,28,0.756756757
882,17,14,0.823529412
883,34,28,0.823529412
884,37,33,0.891891892
885,39,34,0.871794872
886,32,30,0.9375
887,29,24,0.827586207
888,35,32,0.914285714
889,25,22,0.88
890,33,29,0.878787879
891,37,34,0.918918919
892,33,25,0.757575758
893,17,16,0.941176471
894,43,38,0.88372093
895,25,23,0.92
896,45,37,0.822222222
897,28,23,0.821428571
898,20,17,0.85
899,44,40,0.909090909
900,28,25,0.892857143
901,45,35,0.777777778
902,33,23,0.696969697
903,40,26,0.65
904,41,36,0.87804878
905,41,38,0.926829268
906,27,22,0.814814815
907,16,14,0.875
908,28,26,0.928571429
909,17,17,1
910,13,10,0.769230769
911,39,31,0.794871795
912,38,29,0.763157895
913,28,25,0.892857143
914,32,28,0.875
915,24,22,0.916666667
916,26,19,0.730769231
917,43,34,0.790697674
918,34,27,0.794117647
919,32,27,0.84375
920,31,27,0.870967742
921,11,11,1
922,27,24,0.888888889
923,39,35,0.897435897
924,41,33,0.804878049
925,22,17,0.772727273
926,30,19,0.633333333
927,41,35,0.853658537
928,31,25,0.806451613
929,25,20,0.8
930,27,23,0.851851852
931,41,36,0.87804878
932,30,25,0.833333333
933,29,26,0.896551724
934,25,23,0.92
935,39,32,0.820512821
936,28,18,0.642857143
937,19,13,0.684210526
938,31,27,0.870967742
939,42,37,0.880952381
940,20,18,0.9
941,7,7,1
942,4,4,1
943,8,8,1
944,16,14,0.875
945,31,27,0.870967742
946,25,23,0.92
947,27,24,0.888888889
948,31,28,0.903225806
949,20,19,0.95
950,23,21,0.913043478
951,14,14,1
952,11,11,1
953,35,31,0.885714286
954,9,8,0.888888889
955,19,17,0.894736842
956,55,44,0.8
957,19,18,0.947368421
958,15,14,0.933333333
959,26,24,0.923076923
960,19,18,0.947368421
961,35,27,0.771428571
962,43,33,0.76744186
963,30,27,0.9
964,19,15,0.789473684
965,27,23,0.851851852
966,30,23,0.766666667
967,32,31,0.96875
968,35,30,0.857142857
969,33,27,0.818181818
970,30,28,0.933333333
971,28,24,0.857142857
972,17,15,0.882352941
973,24,22,0.916666667
974,27,21,0.777777778
975,22,19,0.863636364
976,18,16,0.888888889
977,29,28,0.965517241
978,5,5,1
979,26,24,0.923076923
980,19,19,1
981,31,30,0.967741935
982,32,30,0.9375
983,27,24,0.888888889
984,20,18,0.9
985,26,25,0.961538462
986,30,29,0.966666667
987,25,23,0.92
988,22,21,0.954545455
989,14,13,0.928571429
990,26,22,0.846153846
991,21,20,0.952380952
992,21,18,0.857142857
993,27,24,0.888888889
994,20,19,0.95
995,32,29,0.90625
996,21,17,0.80952381
997,15,13,0.866666667
998,15,15,1
999,32,27,0.84375
1000,39,33,0.846153846
1001,15,15,1
1002,22,20,0.909090909
1003,19,17,0.894736842
1004,20,17,0.85
1005,7,7,1
1006,7,7,1
1007,15,12,0.8
1008,30,27,0.9
1009,12,8,0.666666667
1010,20,17,0.85
1011,19,11,0.578947368
1012,27,22,0.814814815
1013,22,13,0.590909091
1014,32,2,0.0625
1015,29,8,0.275862069
1016,2,0,0
1017,23,10,0.434782609
1018,32,13,0.40625
1019,23,3,0.130434783
1020,37,2,0.054054054
1021,24,20,0.833333333
1022,27,18,0.666666667
1023,17,3,0.176470588
1024,26,10,0.384615385
1025,29,0,0
1026,6,0,0
1027,40,32,0.8
1028,24,9,0.375
1029,28,24,0.857142857
1030,32,25,0.78125
1031,23,15,0.652173913
1032,24,18,0.75
1034,36,24,0.666666667
1035,34,13,0.382352941
1036,22,18,0.818181818
1037,27,21,0.777777778
1038,32,11,0.34375
1039,38,26,0.684210526
1040,23,21,0.913043478
